Date,Open,High,Low,Close,Volume
1999-03-10,43.127063,43.153425,42.415309,43.074341,5232000
1999-03-11,43.39067,43.641102,42.441664,43.285225,9688600
1999-03-12,43.127061,43.153423,41.888081,42.230778,8743600
1999-03-15,42.547118,43.496124,42.098976,43.443401,6369000
1999-03-16,43.627929,43.996987,43.153426,43.812458,4905800
1999-03-17,43.812464,43.865186,43.364322,43.496128,3965000
1999-03-18,43.443404,44.366049,43.430223,44.339687,4848400
1999-03-19,44.919618,44.919618,43.179774,43.206135,7160400
1999-03-22,43.390675,43.496121,42.599837,42.678921,5024800
1999-03-23,42.441661,42.599828,41.097235,41.176319,10962400
1999-03-24,41.545396,42.599848,40.912725,42.573486,8447000
1999-03-25,43.232497,44.12878,42.949113,44.12878,8133800
1999-03-26,43.759734,44.260599,43.46976,43.654289,8256200
1999-03-29,44.181492,45.262304,43.917879,45.235943,5113800
1999-03-30,45.183237,45.552295,44.735095,44.919624,4940600
1999-03-31,45.657734,45.710456,44.128779,44.260586,8256600
1999-04-01,45.552297,45.60502,44.445123,45.183239,8715800
1999-04-05,45.914768,46.883545,45.631384,46.817642,5697200
1999-04-06,46.764933,47.423965,46.369513,46.90992,7522400
1999-04-07,47.344867,47.450312,45.420493,46.422222,11923600
1999-04-08,46.343156,47.015369,45.394149,46.791298,7952400
1999-04-09,46.712203,47.186706,46.580396,47.081261,4946800
1999-04-12,45.974073,47.081247,45.921351,46.764912,10934000
1999-04-13,47.054893,47.160338,45.76319,46.132248,9962200
1999-04-14,46.712189,46.764911,44.293541,44.550564,21253800
1999-04-15,44.708753,45.229388,43.127075,45.156895,17650600
1999-04-16,45.051433,45.051433,43.601562,43.838814,17274000
1999-04-19,44.128805,44.497863,41.341098,41.78265,19460600
1999-04-20,41.59812,43.074352,41.2027,42.731655,17413600
1999-04-21,43.127058,44.866903,42.54711,44.840542,10940400
1999-04-22,45.262327,46.184972,44.965762,46.053165,13630600
1999-04-23,45.815927,47.002185,45.341424,46.659489,7064400
1999-04-26,46.975802,48.082975,46.824224,47.733688,5421000
1999-04-27,48.082987,48.320239,46.402455,47.002174,16482800
1999-04-28,46.606754,46.764921,45.189835,45.394135,7676800
1999-04-29,45.183253,45.446866,44.076079,45.025085,19148200
1999-04-30,45.657741,45.894993,43.707006,45.315044,15295200
