Date,Open,High,Low,Close,Volume
2022-10-21,162.100047,165.736297,160.942198,165.257843,45402700
2022-10-24,165.851164,166.501854,163.678981,165.965988,27284500
2022-10-25,166.090363,171.190665,166.080784,170.492126,33105700
2022-10-26,171.429895,174.511137,170.645239,171.334213,37084700
2022-10-27,172.807843,174.157085,171.161962,171.372482,28651800
2022-10-28,172.080648,175.506378,171.037622,175.267151,33221600
2022-10-31,174.41546,176.300568,173.726486,175.429779,25699400
2022-11-01,177.257445,177.601932,174.999144,175.668976,27446700
2022-11-02,174.960922,177.027845,169.78405,169.841476,38139600
2022-11-03,167.736243,170.272055,166.607099,168.702728,29093200
2022-11-04,171.209796,172.185845,167.90847,170.980133,25842400
2022-11-07,171.994461,172.807823,170.02322,171.755234,20689900
2022-11-08,172.463361,174.109242,169.717042,171.822235,20265200
2022-11-09,170.329432,170.970558,166.769737,167.10466,27277000
2022-11-10,174.013568,177.458425,173.343721,177.391449,38572800
2022-11-11,177.755058,180.702334,177.688083,178.845932,28765400
2022-11-14,177.783727,179.697541,176.673726,176.845963,26499600
2022-11-15,179.745438,181.391319,178.089993,179.467941,26128800
2022-11-16,178.558857,178.597127,175.793396,176.31012,24802000
2022-11-17,173.79346,175.066148,172.731293,174.673813,20835700
2022-11-18,176.635468,177.324442,174.702526,175.802963,27269100
2022-11-21,174.903465,175.295801,173.611635,174.884323,19038900
2022-11-22,175.822104,176.97039,174.472862,176.750305,16869700
2022-11-23,176.3484,177.774197,175.640298,177.209625,19758800
2022-11-25,177.11392,178.33876,176.702457,177.582809,13393400
2022-11-28,176.195308,176.951258,173.477681,174.003983,17465600
2022-11-29,174.118833,175.697724,174.118833,174.511154,14020600
2022-11-30,174.798209,179.353082,173.008798,179.29567,28030100
2022-12-01,180.042043,181.085082,178.109101,178.903336,21996400
2022-12-02,176.424925,180.721442,176.386655,179.94635,22574800
2022-12-05,178.807642,178.999021,174.32931,174.989578,25449300
2022-12-06,174.999163,175.094845,171.362914,172.310257,18502100
2022-12-07,172.004058,173.678645,171.391638,171.803101,17177800
2022-12-08,172.980097,174.759945,171.774385,173.047073,20971400
2022-12-09,172.023197,173.018374,170.865333,170.922745,22046500
2022-12-12,171.142824,173.286287,170.329447,172.932236,22765400
2022-12-13,178.546367,179.421173,173.172579,174.364624,38445300
2022-12-14,174.297303,175.835424,171.913228,173.220627,32406900
2022-12-15,171.144168,171.692129,168.26981,168.885056,33546700
2022-12-16,167.077802,168.337131,165.991503,167.625748,38502400
2022-12-19,167.856469,168.279453,164.837918,165.357025,25614000
2022-12-20,165.030159,167.289272,164.559106,166.231812,18050800
2022-12-21,167.702659,169.961772,167.462328,169.096573,22997200
2022-12-22,167.587305,167.74112,164.068862,166.885544,21297600
2022-12-23,166.770167,167.702651,165.67426,167.644974,11647700
2022-12-27,167.616109,167.817993,165.904957,166.520203,13553800
2022-12-28,166.481763,167.366192,163.751612,163.934265,19648000
2022-12-29,165.078246,168.471712,164.770615,168.087189,22311300
2022-12-30,166.635567,167.962196,165.933806,167.616119,21275600
2023-01-03,169.125412,170.461664,165.251284,166.693268,22503800
2023-01-04,167.866069,169.836783,167.539223,168.769714,22973500
2023-01-05,167.837255,168.000678,165.722349,166.962448,17032600
2023-01-06,168.51978,171.153794,167.145082,170.711594,21986900
2023-01-09,172.086284,173.153352,170.778885,171.0,18366500
2023-01-10,170.7885,173.634005,170.442423,173.528259,18751100
2023-01-11,174.249225,175.720046,173.691656,175.691208,18222700
2023-01-12,176.469904,178.757841,174.883714,178.642487,29650800
2023-01-13,177.363948,180.0941,177.200525,179.815323,22120000
2023-01-17,179.767223,180.57473,179.036624,179.594193,22422600
2023-01-18,180.199814,181.65142,176.594856,176.690994,23507800
2023-01-19,175.662414,176.018114,173.787839,174.9991,24624500
2023-01-20,175.643174,177.988787,174.258867,177.883041,36070300
2023-01-23,178.257967,180.843926,177.440852,180.084488,20329900
2023-01-24,179.373075,180.565119,178.690544,179.699921,19263500
2023-01-25,178.238754,180.257521,176.758309,180.199844,18174600
2023-01-26,181.670645,182.507005,179.084686,181.266891,18369100
2023-01-27,180.709346,182.93962,180.526692,182.247467,20019900
2023-01-30,180.574764,182.276308,179.603833,179.709579,18395100
