Date,Open,High,Low,Close,change_pct
2000-05-26,32.592049,32.726265,32.435464,32.726265,
2000-05-30,33.196018,33.934204,33.196018,33.934204,3.69
2000-05-31,34.04604,34.493425,34.04604,34.057224,0.36
2000-06-01,34.756268,34.828968,34.756268,34.828968,2.27
2000-06-02,36.405999,36.640877,36.405999,36.640877,5.2
2000-06-05,36.551407,36.909315,36.46193,36.506668,-0.37
2000-06-06,37.082667,37.513276,36.75272,36.864567,0.98
2000-06-07,36.640893,36.909325,36.305354,36.909325,0.12
2000-06-08,37.311952,37.311952,36.819828,36.819828,-0.24
2000-06-09,37.177743,37.468544,37.155374,37.468544,1.76
2000-06-12,37.580385,37.580385,36.327706,36.355667,-2.97
2000-06-13,36.266188,36.819828,35.925057,36.819828,1.28
2000-06-14,37.121816,37.121816,36.640877,36.640877,-0.49
2000-06-15,36.417188,36.685619,36.064872,36.685619,0.12
2000-06-16,36.842188,36.864557,36.48428,36.48428,-0.55
2000-06-19,36.685608,37.401424,36.517838,37.401424,2.51
2000-06-20,37.457353,37.703415,37.311952,37.647491,0.66
2000-06-21,37.333262,37.915195,37.333262,37.848049,0.53
2000-06-22,37.959945,37.959945,36.706551,36.706551,-3.02
2000-06-23,37.06465,37.06465,36.169368,36.460335,-0.67
2000-06-26,36.605817,36.907974,36.437952,36.907974,1.23
2000-06-27,36.963938,37.288477,36.32605,36.32605,-1.58
2000-06-28,36.482735,37.378017,36.482735,37.243725,2.53
2000-06-29,37.064654,37.1318,36.549867,36.661777,-1.56
2000-06-30,36.684193,37.014328,36.382035,37.014328,0.96
2000-07-03,36.930346,37.53466,36.885582,37.53466,1.41
2000-07-05,37.322065,37.333257,36.980739,37.109436,-1.13
2000-07-06,37.120621,37.545879,36.773699,37.545879,1.18
2000-07-07,37.551487,37.926386,37.551487,37.780903,0.63
2000-07-10,37.758526,38.161403,37.758526,38.027111,0.65
2000-07-11,37.959941,38.17257,37.84803,37.982323,-0.12
2000-07-12,38.183758,38.743309,38.138994,38.743309,2.0
2000-07-13,38.776908,38.866436,38.676189,38.866436,0.32
2000-07-14,39.067859,39.067859,38.586645,38.899994,0.09
2000-07-17,38.933563,39.101429,38.832844,39.034283,0.35
2000-07-18,38.776907,38.776907,38.362839,38.362839,-1.72
2000-07-19,38.239713,38.239713,37.691353,37.691353,-1.75
2000-07-20,38.049473,38.318058,38.049473,38.318058,1.66
2000-07-21,38.094241,38.094241,37.266106,37.266106,-2.75
2000-07-24,37.467523,37.467523,36.644983,36.72332,-1.46
2000-07-25,37.014291,37.014291,36.572246,36.796066,0.2
2000-07-26,36.527485,36.728924,36.146991,36.728924,-0.18
2000-07-27,36.656199,36.656199,35.721748,35.721748,-2.74
2000-07-28,35.928782,35.928782,35.005523,35.095051,-1.75
2000-07-31,35.274097,35.990322,34.87122,35.990322,2.55
2000-08-01,35.721729,35.856022,35.553864,35.755302,-0.65
