logit_lambda
0.8484
0.274866
3.453277
-0.048621
-1.62199
1.374042
0.197398
-0.729833
-1.443705
2.303222
-0.090339
0.780389
2.413143
-0.38429
1.673289
1.740058
0.550533
-1.647417
1.489294
3.378126
