metric,value
test_rmse_mean,0.1245
test_rmse_median,0.0944
test_rmse_std,0.1289
test_rmse_min,0.0254
test_rmse_max,1.3619
a_mean,-6.1
a_std,0.0
b_mean,0.37
b_std,0.0
n_test_months,131.0
train_window_months,60.0
stitched_rmse,1.3589
low_rate_rmse,0.98
high_rate_rmse,1.7763
low_rate_days,1636.0
high_rate_days,1108.0
rate_boundary_pct,2.0
