이평기간,버퍼존,유지일,조정기간,수익률,CAGR,MDD,거래수,승률,최종자본
250,0.03,5,10,1298.46,10.35,-46.15,15,73.33,139846099.29
250,0.03,5,8,1298.46,10.35,-46.15,15,73.33,139846099.29
250,0.02,3,10,1296.2,10.35,-43.36,20,65.0,139619783.71
250,0.04,0,6,1294.26,10.34,-40.51,17,64.71,139426471.35
200,0.05,3,6,1291.31,10.33,-39.08,14,78.57,139131293.61
200,0.05,3,8,1291.31,10.33,-39.08,14,78.57,139131293.61
150,0.05,1,12,1290.42,10.33,-51.78,16,75.0,139041699.56
250,0.03,1,12,1289.26,10.33,-44.91,17,64.71,138926165.8
250,0.03,1,8,1289.26,10.33,-44.91,17,64.71,138926165.8
250,0.03,1,10,1289.26,10.33,-44.91,17,64.71,138926165.8
200,0.05,0,12,1289.11,10.33,-49.26,15,73.33,138910509.56
200,0.05,0,10,1289.11,10.33,-49.26,15,73.33,138910509.56
150,0.03,4,6,1288.71,10.32,-48.67,20,65.0,138871326.58
200,0.05,1,2,1283.52,10.31,-38.95,15,66.67,138351787.3
200,0.04,0,2,1282.56,10.31,-55.18,19,63.16,138255539.81
200,0.04,2,10,1282.05,10.3,-48.41,17,64.71,138204718.45
200,0.04,3,4,1280.75,10.3,-48.32,17,70.59,138075332.71
150,0.05,0,12,1280.51,10.3,-55.54,17,70.59,138050766.25
200,0.05,3,10,1276.17,10.29,-39.08,14,78.57,137617397.81
200,0.05,3,12,1276.17,10.29,-39.08,14,78.57,137617397.81
200,0.04,3,6,1271.79,10.27,-48.32,17,70.59,137179243.1
150,0.03,3,6,1271.72,10.27,-49.46,21,61.9,137172455.95
200,0.04,2,12,1270.21,10.27,-48.41,17,64.71,137021044.59
150,0.03,4,8,1265.97,10.26,-48.67,20,65.0,136597218.32
250,0.02,4,10,1265.46,10.26,-45.65,20,65.0,136545584.5
150,0.04,2,10,1264.99,10.25,-45.16,18,66.67,136499229.49
150,0.04,4,12,1264.86,10.25,-42.4,16,68.75,136485780.42
250,0.02,5,10,1264.82,10.25,-44.28,20,65.0,136481901.75
150,0.03,3,10,1264.05,10.25,-49.46,20,60.0,136404912.89
150,0.04,0,4,1263.69,10.25,-56.96,20,65.0,136369490.53
250,0.04,4,8,1259.9,10.24,-45.72,14,78.57,135989591.51
200,0.05,1,4,1259.37,10.24,-38.95,15,66.67,135937290.84
150,0.03,3,4,1258.55,10.23,-49.46,21,61.9,135855102.32
250,0.03,4,2,1257.88,10.23,-46.47,16,68.75,135788492.41
200,0.05,2,4,1257.01,10.23,-39.24,15,66.67,135700507.46
200,0.04,2,2,1256.65,10.23,-48.41,18,66.67,135665118.6
150,0.05,3,6,1256.35,10.23,-43.86,15,80.0,135634974.26
150,0.05,3,8,1256.35,10.23,-43.86,15,80.0,135634974.26
200,0.04,5,4,1255.71,10.23,-44.33,17,64.71,135570777.52
200,0.04,5,8,1255.71,10.23,-44.33,17,64.71,135570777.52
200,0.04,5,2,1255.71,10.23,-44.33,17,64.71,135570777.52
200,0.04,5,6,1255.71,10.23,-44.33,17,64.71,135570777.52
200,0.04,3,8,1254.28,10.22,-48.32,17,64.71,135427604.51
150,0.05,1,2,1245.31,10.19,-49.15,17,64.71,134530883.21
250,0.04,4,10,1243.21,10.19,-45.72,14,78.57,134320610.21
250,0.04,4,12,1243.21,10.19,-45.72,14,78.57,134320610.21
150,0.05,3,10,1241.59,10.18,-43.86,15,80.0,134158943.07
200,0.05,0,0,1235.58,10.16,-48.69,16,62.5,133557783.62
150,0.05,3,12,1223.96,10.13,-43.86,15,80.0,132395826.73
150,0.03,3,2,1219.94,10.12,-48.96,22,59.09,131994030.45
150,0.04,2,12,1216.46,10.1,-45.16,18,66.67,131645599.18
150,0.03,4,2,1215.93,10.1,-46.88,22,59.09,131593309.44
200,0.04,4,6,1214.86,10.1,-46.74,17,64.71,131486473.4
200,0.04,4,2,1214.86,10.1,-46.74,17,64.71,131486473.4
200,0.04,4,4,1214.86,10.1,-46.74,17,64.71,131486473.4
250,0.04,5,6,1213.18,10.09,-46.47,14,78.57,131318411.64
250,0.04,5,8,1213.18,10.09,-46.47,14,78.57,131318411.64
150,0.04,5,12,1211.85,10.09,-41.03,16,68.75,131184755.9
150,0.05,5,8,1211.47,10.09,-44.03,15,80.0,131147095.99
150,0.05,5,6,1211.47,10.09,-44.03,15,80.0,131147095.99
200,0.05,0,2,1206.78,10.07,-48.69,16,62.5,130677505.31
200,0.04,5,10,1205.34,10.07,-44.33,17,64.71,130533837.4
250,0.02,3,6,1204.99,10.07,-43.36,21,61.9,130499233.77
200,0.04,4,8,1204.2,10.07,-46.74,17,64.71,130419550.15
200,0.05,5,2,1202.78,10.06,-40.31,14,71.43,130277940.86
200,0.05,5,0,1202.78,10.06,-40.31,14,71.43,130277940.86
150,0.03,4,4,1201.87,10.06,-48.67,21,61.9,130186666.83
200,0.05,5,4,1201.63,10.06,-40.31,14,71.43,130163231.11
