entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,buffer_zone_pct,hold_days_used,recent_buy_count,holding_days
1999-04-08,2000-04-17,44.96973569,65.370824419,222371,4536610.5017564595,0.45366263367957993,signal,0.04,3,0,375
2000-06-19,2000-09-22,88.59086365799999,59.774660428,164087,-4728364.339401009,-0.32527285591484145,signal,0.04,3,0,95
2003-03-24,2004-07-27,0.21990173199999996,0.374766318,44602859,6907403.293451375,0.7042445031765373,signal,0.04,3,0,491
2004-11-02,2005-04-18,0.4628945299999999,0.36601166100000004,36111140,-3498550.8460606555,-0.20929793445604097,signal,0.04,3,0,167
2005-07-20,2006-05-19,0.503871092,0.44907970700000005,26231111,-1437238.9017787343,-0.108740878113325,signal,0.04,3,0,303
2006-10-10,2008-01-09,0.4932081989999999,0.5383540779999999,23884152,1078271.036209608,0.09153513484069231,signal,0.04,3,0,456
2008-05-07,2008-07-03,0.5557803539999999,0.414299362,23135273,-3273201.374230814,-0.25456278002946453,signal,0.05,3,0,57
2009-05-05,2010-06-30,0.11594780299999999,0.189646349,82665898,6092356.486384308,0.6356183049022499,signal,0.04,3,0,421
2010-09-17,2011-08-09,0.25796457899999997,0.28811306000000003,60773017,1832214.1483371807,0.11687062276871765,signal,0.04,3,0,326
2011-11-09,2012-11-15,0.381326558,0.444508462,45917336,2901144.7150877444,0.16568975507863792,signal,0.04,3,0,372
2013-03-13,2015-08-24,0.6002313079999999,1.488287702,34004631,30198029.98516062,1.4795236139198529,signal,0.04,3,0,894
2015-10-29,2016-01-11,2.397584239,1.849997308,21108194,-11558571.171412611,-0.22839111222569222,signal,0.04,3,0,74
2016-07-20,2018-10-25,2.206264998,6.078873505000001,17699643,68543788.05266301,1.7552780425336743,signal,0.04,3,0,827
2019-03-18,2020-03-10,6.636724621999999,8.105238119,16211896,23807388.08796031,0.22127081966487538,signal,0.04,3,0,358
2020-04-20,2022-01-24,7.819363927999999,25.682088899,16804599,300175930.18494165,2.2844217426734925,signal,0.04,3,0,644
2023-02-07,2025-03-11,11.974993527999999,29.367286041,36039869,626815943.7782009,1.4523842933470688,signal,0.04,3,0,763
