month,schema_version,rate_level_pct,rate_change_pct,rate_change_lag1_pct,rate_change_lag2_pct,error_eom_pct,error_change_pct,error_daily_sum_pct,cv_diff_pct,rolling_corr_rate_level_error_eom,rolling_corr_rate_change_error_change,rolling_corr_rate_lag1_error_change,rolling_corr_rate_lag2_error_change
2010-02,1.0,0.13,,,,-0.0807,,-0.0806,,,,,
2010-03,1.0,0.16,0.03,,,-0.213,-0.1323,-0.1321,-0.0002,,,,
2010-04,1.0,0.2,0.04,0.03,,-0.1727,0.0403,0.0399,0.0004,,,,
2010-05,1.0,0.2,0.0,0.04,0.03,-0.3837,-0.211,-0.211,0.0,,,,
2010-06,1.0,0.18,-0.02,0.0,0.04,0.0002,0.3839,0.3841,-0.0002,,,,
2010-07,1.0,0.18,0.0,-0.02,0.0,0.1348,0.1346,0.1344,0.0002,,,,
2010-08,1.0,0.19,0.01,0.0,-0.02,-0.316,-0.4508,-0.4507,-0.0001,,,,
2010-09,1.0,0.19,0.0,0.01,0.0,0.0463,0.3623,0.3623,0.0,,,,
2010-10,1.0,0.19,0.0,0.0,0.01,-0.0256,-0.0719,-0.072,0.0001,,,,
2010-11,1.0,0.19,0.0,0.0,0.0,0.0935,0.1191,0.1189,0.0002,,,,
2010-12,1.0,0.18,-0.01,0.0,0.0,-0.1767,-0.2702,-0.2703,0.0001,,,,
2011-01,1.0,0.17,-0.01,-0.01,0.0,-0.1651,0.0116,0.0114,0.0002,-0.0925,,,
2011-02,1.0,0.16,-0.01,-0.01,-0.01,-0.2455,-0.0804,-0.0807,0.0003,0.0499,-0.2328,,
2011-03,1.0,0.14,-0.02,-0.01,-0.01,-0.2924,-0.0469,-0.0468,-0.0001,0.1953,-0.1508,-0.1083,
2011-04,1.0,0.1,-0.04,-0.02,-0.01,-0.4395,-0.1471,-0.1469,-0.0002,0.5101,-0.1164,-0.0901,0.4489
2011-05,1.0,0.09,-0.01,-0.04,-0.02,-0.2978,0.1417,0.1416,0.0001,0.6963,-0.0747,0.0022,0.5624
2011-06,1.0,0.09,0.0,-0.01,-0.04,-0.2972,0.0006,0.0006,-0.0,0.6911,0.0689,-0.1109,0.1841
2011-07,1.0,0.07,-0.02,0.0,-0.01,-0.5938,-0.2966,-0.2964,-0.0002,0.7923,0.1128,-0.1108,0.1424
2011-08,1.0,0.1,0.03,-0.02,0.0,-0.6312,-0.0374,-0.0373,-0.0001,0.8643,0.3429,-0.0036,-0.0091
2011-09,1.0,0.08,-0.02,0.03,-0.02,-0.7878,-0.1566,-0.1567,0.0001,0.8452,0.3667,-0.4804,-0.1228
2011-10,1.0,0.07,-0.01,-0.02,0.03,-0.5806,0.2072,0.2072,-0.0,0.8335,0.3209,-0.5118,0.2818
2011-11,1.0,0.08,0.01,-0.01,-0.02,-0.4977,0.0829,0.083,-0.0001,0.7749,0.3456,-0.5897,0.1813
2011-12,1.0,0.07,-0.01,0.01,-0.01,-0.4465,0.0512,0.0511,0.0001,0.7063,0.3723,-0.473,0.2916
2012-01,1.0,0.08,0.01,-0.01,0.01,-0.4314,0.0151,0.0153,-0.0002,0.5851,0.3814,-0.4728,0.2937
2012-02,1.0,0.1,0.02,0.01,-0.01,-0.5625,-0.1311,-0.1313,0.0002,0.4166,0.2454,-0.5148,0.2897
2012-03,1.0,0.13,0.03,0.02,0.01,-0.6715,-0.109,-0.1093,0.0003,-0.1416,0.1357,-0.5358,0.2199
2012-04,1.0,0.14,0.01,0.03,0.02,-0.7368,-0.0653,-0.0653,0.0,-0.3838,-0.0233,-0.6059,0.1609
2012-05,1.0,0.16,0.02,0.01,0.03,-0.726,0.0108,0.011,-0.0002,-0.5164,0.0987,-0.4933,0.2985
2012-06,1.0,0.16,0.0,0.02,0.01,-0.9261,-0.2001,-0.2003,0.0002,-0.7213,0.1368,-0.5295,0.3594
2012-07,1.0,0.16,0.0,0.0,0.02,-1.0118,-0.0857,-0.0858,0.0001,-0.7841,-0.1378,-0.6878,0.2353
2012-08,1.0,0.13,-0.03,0.0,0.0,-1.227,-0.2152,-0.2152,-0.0,-0.674,0.1285,-0.6385,0.2562
2012-09,1.0,0.14,0.01,-0.03,0.0,-1.2754,-0.0484,-0.0485,0.0001,-0.7021,0.022,-0.4786,0.1577
2012-10,1.0,0.16,0.02,0.01,-0.03,-1.2069,0.0685,0.0684,0.0001,-0.7326,0.3486,-0.253,-0.3579
2012-11,1.0,0.16,0.0,0.02,0.01,-1.3079,-0.101,-0.1008,-0.0002,-0.7215,0.3717,-0.1725,-0.2351
2012-12,1.0,0.16,0.0,0.0,0.02,-1.4183,-0.1104,-0.1104,0.0,-0.6697,0.5903,-0.1938,-0.1555
2013-01,1.0,0.14,-0.02,0.0,0.0,-1.4547,-0.0364,-0.0364,-0.0,-0.4302,0.4492,-0.114,-0.2057
2013-02,1.0,0.15,0.01,-0.02,0.0,-1.6432,-0.1885,-0.1882,-0.0003,-0.1081,0.4469,0.0779,-0.2053
2013-03,1.0,0.14,-0.01,0.01,-0.02,-1.4247,0.2185,0.2184,0.0001,0.2078,0.2068,0.1487,-0.4534
2013-04,1.0,0.15,0.01,-0.01,0.01,-1.5131,-0.0884,-0.0883,-0.0001,0.4048,0.196,0.1827,-0.4724
2013-05,1.0,0.11,-0.04,0.01,-0.01,-1.5342,-0.0211,-0.0209,-0.0002,0.4276,0.0249,0.1703,-0.6658
2013-06,1.0,0.09,-0.02,-0.04,0.01,-1.1944,0.3398,0.34,-0.0002,0.0248,-0.1356,-0.2523,-0.3153
2013-07,1.0,0.09,0.0,-0.02,-0.04,-1.5971,-0.4027,-0.4024,-0.0003,0.0842,-0.1592,-0.0562,0.1768
2013-08,1.0,0.08,-0.01,0.0,-0.02,-1.6216,-0.0245,-0.0245,-0.0,0.2904,-0.3089,-0.0289,0.1951
2013-09,1.0,0.08,0.0,-0.01,0.0,-1.6836,-0.062,-0.0619,-0.0001,0.4065,-0.3161,-0.0383,0.1928
2013-10,1.0,0.09,0.01,0.0,-0.01,-1.6061,0.0775,0.0774,0.0001,0.3442,-0.3685,-0.0686,0.2677
2013-11,1.0,0.08,-0.01,0.01,0.0,-1.4351,0.171,0.1709,0.0001,0.1475,-0.3636,0.0827,0.3244
