Date,equity,position,buffer_zone_pct,upper_band,lower_band,drawdown_pct
1999-03-10,10000000,0,0.04,44.853813,41.403519,0.0
1999-03-11,10000000,0,0.04,44.856721,41.406204,0.0
1999-03-12,10000000,0,0.04,44.845048,41.395429,0.0
1999-03-15,10000000,0,0.04,44.850254,41.400234,0.0
1999-03-16,10000000,0,0.04,44.860481,41.409675,0.0
1999-03-17,10000000,0,0.04,44.86621,41.414963,0.0
1999-03-18,10000000,0,0.04,44.883497,41.43092,0.0
1999-03-19,10000000,0,0.04,44.884922,41.432235,0.0
1999-03-22,10000000,0,0.04,44.879056,41.426821,0.0
1999-03-23,10000000,0,0.04,44.852543,41.402348,0.0
1999-03-24,10000000,0,0.04,44.845652,41.395986,0.0
1999-03-25,10000000,0,0.04,44.860303,41.409511,0.0
1999-03-26,10000000,0,0.04,44.868216,41.416814,0.0
1999-03-29,10000000,0,0.04,44.897838,41.444158,0.0
1999-03-30,10000000,0,0.04,44.922706,41.467113,0.0
1999-03-31,10000000,0,0.04,44.938154,41.481373,0.0
1999-04-01,10000000,0,0.04,44.966123,41.50719,0.0
1999-04-05,10000000,0,0.04,45.016264,41.553474,0.0
1999-04-06,10000000,0,0.04,45.067013,41.600319,0.0
1999-04-07,10000000,0,0.04,45.110363,41.640335,0.0
1999-04-08,10255143,222373,0.04,45.15823,41.68452,0.0
1999-04-09,10440503,222373,0.05,45.644168,41.297104,0.0
1999-04-12,10224684,222373,0.05,45.690803,41.339298,-2.07
1999-04-13,9804416,222373,0.05,45.72801,41.372961,-6.09
1999-04-14,8790909,222373,0.05,45.7427,41.386252,-15.8
1999-04-15,9145285,222373,0.05,45.765637,41.407005,-12.41
1999-04-16,8339758,222373,0.05,45.769918,41.410878,-20.12
1999-04-19,7161967,222373,0.05,45.745509,41.388794,-31.4
1999-04-20,7646289,222373,0.05,45.734639,41.378959,-26.76
1999-04-21,8774424,222373,0.05,45.753279,41.395824,-15.96
1999-04-22,9481738,222373,0.05,45.788557,41.427742,-9.18
1999-04-23,9851348,222373,0.05,45.831811,41.466877,-5.64
1999-04-26,10526665,222373,0.05,45.88945,41.519026,0.0
1999-04-27,10037275,222373,0.05,45.93614,41.561269,-4.65
1999-04-28,9001912,222373,0.05,45.959819,41.582693,-14.48
1999-04-29,8777704,222373,0.05,45.978046,41.599184,-16.61
1999-04-30,8942768,222373,0.05,46.000069,41.61911,-15.05
1999-05-03,8797703,222373,0.05,46.018497,41.635783,-16.42
1999-05-04,8376429,222373,0.05,46.02677,41.643268,-20.43
1999-05-05,9133587,222373,0.05,46.053654,41.667592,-13.23
1999-05-06,8133345,222373,0.05,46.057056,41.67067,-22.74
1999-05-07,8479600,222373,0.05,46.069223,41.681678,-19.45
1999-05-10,8730369,222373,0.05,46.087469,41.698186,-17.06
1999-05-11,9138923,222373,0.05,46.115385,41.723443,-13.18
1999-05-12,9701767,222373,0.05,46.156145,41.760322,-7.84
1999-05-13,9155649,222373,0.05,46.184252,41.785752,-13.02
1999-05-14,8630596,222373,0.05,46.199873,41.799885,-18.01
1999-05-17,9092014,222373,0.05,46.226575,41.824044,-13.63
1999-05-18,8965818,222373,0.05,46.250078,41.845309,-14.83
1999-05-19,9333902,222373,0.05,46.28208,41.874263,-11.33
1999-05-20,8559673,222373,0.05,46.295947,41.886809,-18.69
1999-05-21,8318433,222373,0.05,46.303848,41.893958,-20.98
1999-05-24,7679934,222373,0.05,46.295861,41.886731,-27.04
1999-05-25,6921482,222373,0.05,46.268157,41.861666,-34.25
1999-05-26,7497232,222373,0.05,46.257155,41.851712,-28.78
1999-05-27,7472785,222373,0.05,46.245749,41.841392,-29.01
1999-05-28,7838464,222373,0.05,46.244404,41.840175,-25.54
1999-06-01,7311829,222373,0.05,46.229495,41.826686,-30.54
1999-06-02,7678576,222373,0.05,46.224879,41.822509,-27.06
1999-06-03,7347604,222373,0.05,46.211697,41.810583,-30.2
1999-06-04,8019121,222373,0.05,46.217044,41.81542,-23.82
1999-06-07,8515566,222373,0.05,46.235167,41.831818,-19.1
1999-06-08,7871371,222373,0.04,45.796911,42.274072,-25.22
1999-06-09,8262266,222373,0.04,45.809143,42.285363,-21.51
1999-06-10,7974000,222373,0.04,45.814123,42.28996,-24.25
1999-06-11,7607295,222373,0.04,45.809766,42.285938,-27.73
1999-06-14,7172948,222373,0.04,45.794105,42.271481,-31.86
1999-06-15,7490213,222373,0.04,45.787468,42.265355,-28.85
1999-06-16,8640499,222373,0.04,45.811732,42.287752,-17.92
1999-06-17,8923663,222373,0.04,45.842673,42.316314,-15.23
1999-06-18,9041150,222373,0.04,45.876114,42.347182,-14.11
1999-06-21,9848470,222373,0.04,45.928291,42.395345,-6.44
1999-06-22,8951996,222373,0.04,45.95987,42.424496,-14.96
1999-06-23,9370788,222373,0.04,46.001121,42.462573,-10.98
1999-06-24,8807698,222373,0.04,46.028918,42.488232,-16.33
1999-06-25,8769197,222373,0.04,46.055529,42.512796,-16.7
1999-06-28,9388518,222373,0.04,46.096875,42.550962,-10.81
1999-06-29,9768840,222373,0.04,46.146583,42.596845,-7.2
1999-06-30,10215639,222373,0.04,46.205812,42.651518,-2.95
1999-07-01,10417803,222373,0.04,46.268801,42.709662,-1.03
1999-07-02,10807744,222373,0.04,46.3395,42.774923,0.0
1999-07-06,10594872,222373,0.04,46.404899,42.835292,-1.97
1999-07-07,10640137,222373,0.04,46.470523,42.895868,-1.55
1999-07-08,11060848,222373,0.04,46.544367,42.964032,0.0
1999-07-09,11387334,222373,0.04,46.624142,43.037669,0.0
1999-07-12,11202733,222373,0.04,46.699224,43.106976,-1.62
1999-07-13,11037839,222373,0.04,46.770039,43.172344,-3.07
1999-07-14,11595056,222373,0.04,46.851641,43.247669,0.0
1999-07-15,11908952,222373,0.04,46.938617,43.327954,0.0
1999-07-16,12232917,222373,0.04,47.030985,43.413217,0.0
1999-07-19,11852523,222373,0.04,47.114858,43.490639,-3.11
1999-07-20,10474231,222373,0.04,47.170352,43.541863,-14.38
1999-07-21,10619835,222373,0.04,47.228383,43.59543,-13.19
1999-07-22,9803971,222373,0.04,47.268284,43.632262,-19.86
1999-07-23,9842811,222373,0.04,47.308656,43.669529,-19.54
1999-07-26,9112534,222373,0.04,47.332133,43.6912,-25.51
1999-07-27,9657969,222373,0.04,47.368388,43.724666,-21.05
1999-07-28,10220587,222373,0.04,47.41716,43.769687,-16.45
1999-07-29,9559649,222373,0.04,47.450835,43.80077,-21.85
1999-07-30,9412601,222373,0.04,47.48079,43.828422,-23.06
1999-08-02,9329418,222373,0.04,47.508531,43.854029,-23.74
1999-08-03,9142160,222373,0.04,47.531634,43.875354,-25.27
1999-08-04,8640276,222373,0.04,47.542613,43.885489,-29.37
1999-08-05,9047445,222373,0.04,47.563627,43.904886,-26.04
1999-08-06,8750496,222373,0.04,47.577364,43.917567,-28.47
1999-08-09,8408320,222373,0.04,47.582648,43.922444,-31.26
1999-08-10,8176325,222373,0.04,47.582135,43.921971,-33.16
1999-08-11,8979025,222373,0.04,47.602353,43.940633,-26.6
1999-08-12,8657845,222373,0.04,47.614668,43.952001,-29.23
1999-08-13,9784237,222373,0.04,47.654816,43.98906,-20.02
