Date,equity,cash,rebalanced,rebalance_reason,qld_value,qld_weight,qld_signal,qld_shares,qld_avg_price,qld_realized_pnl,qld_unrealized_pnl,drawdown_pct,qld_current_price,qld_return_pct,qld_contribution,total_pnl,total_return_pct
2007-04-09,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
2007-04-10,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
2007-04-11,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
2007-04-12,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
2007-04-13,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
2007-04-16,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
2007-04-17,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
2007-04-18,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
2007-04-19,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
2007-04-20,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
2007-04-23,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
2007-04-24,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
2007-04-25,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
2007-04-26,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
2007-04-27,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
2007-04-30,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
2007-05-01,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
2007-05-02,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
2007-05-03,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
2007-05-04,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
2007-05-07,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0
