entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,holding_days
1999-04-12,2000-04-17,43.769213,65.370509,228471,4935270,0.4935,0.03,5,371
2000-06-12,2000-10-03,90.66439,59.246711,164731,-5175466,-0.3465,0.03,5,113
2003-04-28,2004-08-06,0.229172,0.347642,42587159,5045278,0.5169,0.03,5,466
2004-11-04,2005-04-18,0.468982,0.366012,31568569,-3250618,-0.2196,0.03,5,165
2005-06-01,2006-05-24,0.476318,0.425439,24257895,-1234213,-0.1068,0.03,5,357
2006-10-12,2008-01-09,0.498295,0.538354,20711110,829659,0.0804,0.03,5,454
2008-05-09,2008-07-03,0.524707,0.414298,21249767,-2346167,-0.2104,0.03,5,55
2009-05-07,2010-07-01,0.118721,0.184021,74154839,4842324,0.55,0.03,5,420
2010-09-20,2011-08-09,0.258364,0.288113,52817265,1571276,0.1151,0.03,5,323
2011-10-31,2015-08-25,0.397529,1.774839,38279831,52723211,3.4647,0.03,5,1394
2015-10-30,2016-01-14,2.42332,1.713563,28036144,-19898860,-0.2929,0.03,5,76
2016-04-21,2018-10-25,2.117887,6.078874,22683789,89850190,1.8703,0.03,5,917
2019-03-04,2020-03-10,6.349057,8.105239,21718482,38141605,0.2766,0.03,5,372
